Book #,SONG ID,SOURCE,Title,Text © admin,CCLI #,Tune © admin,Author,Author's life span,Tune name,Composer,Composer life span,Word revisions,life span,Music adapt ,Life span,Descants,Life span,Ref. No,Psalm ref #
268,H043,BOW293,"Ride on, ride on in Majesty",pd,n/a,Henry Hayes,"Milman, Henry H. ",1791-1868,CHICKAHOMINY,"Hays, Henry Bryan ",b. 1920,,,,,,,152,
269,H282,PH348,"All glory, laud and honour",pd,n/a,SJTEvangelist,Theodulph of Orleans,c. 750-821,ST. THEODULPH,"Teschner, Melchior ",1584-1635,"Neale, John M. ",1818-1866,"Rose, Alfred Leslie",1890-1970,"Rose, Alfred Leslie ",1890-1970,27,
270,H283,PH349,"Hosanna, loud hosanna",pd,n/a,pd,"Threlfall, Jennette",1821-1880,ELLACOMBE,"Gesangbuch der Herzogl, Würtemberg",1784,,,,,,,,
271,H078,BOW404,From heaven you came,Crossroads,78897,Crossroads,"Kendrick, Graham ",b. 1950,THE SERVANT KING,"Kendrick, Graham ",b. 1950,,,,,,,186,
272,H049,BOW306,“Your will be done!”,"de Graaf, Arent",n/a,pd,"de Graaf, Arent ",b.1929,OLIVE'S BROW,"Bradbury, William B. ",1816-1868,,,,,,,157,
273,H137,N130,A purple robe,Hope,1778309,Hope,"Dudley-Smith, Timothy ",b. 1934,A PURPLE ROBE,"Wilson, David ",b. 1940 ,,,"Tredinnick, Noël  ",b. 1949,,,273,
274,H237,PH352,Alas! and did my Saviour bleed,pd,n/a,pd,"Watts, Isaac",1674-1748,MARTYRDOM,"Wilson, Hugh ",1766-1824,,,"Smith, Robert A. ",1780-1829,,,,
275,H285,PH351,"Ah, dearest Jesus, how hast thou offended",pd,n/a,pd,"Heermann, Johann",1585-1647,HERZLIEBSTER JESU,"Crüger, Johann ",1598-1662,"Bridges, Robert ",1844-1930,,,,,29,
276,H176,PH353,Beneath the cross of Jesus,Emu Music,4969280,pd,"Clephane, Elizabeth C. D. ",1830-1869,ST. CHRISTOPHER,"Maker, Frederick C. ",1844-1927,"Peterson, Mark",b. 1960,,,,,313,
277,H012,BOW186,And can it be that I should gain,pd,n/a,pd,"Wesley, Charles ",1707-1788,SAGINA,"Campbell, Thomas ",1777-c. 1844,,,,,,,127,
278,H044,BOW296,Glory be to Jesus,pd,n/a,pd,Italian ,18th cent. ,CASWALL,"Filitz, Friedrich ",1804-1876,"Caswall, Edward ",1814-1878,,,,,236,
279,H130,N092,How deep the Father's love for us,Crossroads,1558110,harm - STTL; Crossroads,"Townend, Stuart ",b. 1963,TOWNEND,"Townend, Stuart ",b. 1963,,,"Watson, Jeremy",b. 1992,,,361,
280,H129,N084,He was pierced,Crossroads,173259,Crossroads,"Dawn, Maggi ",,LIKE A LAMB,"Dawn, Maggi ",,,,,,,,298,
281,H050,BOW307,Lift high the cross,pd,n/a,dec GIA; tune pd,"Kitchin, George W. ",1827-1912,CRUCIFER,"Nicholson, Sydney H. ",1875 - 1947,"Newbolt, Michael R. ",1874-1956,,,"Proulx, Richard ",1938-2010,158,
282,H222,NTRIN242,Not all the blood of beasts,pd,n/a,pd,"Watts, Isaac ",1674-1748,FESTAL SONG,"Walter, William H. ",1825-1893,,,,,,,334,
283,H160,N311,It is a thing most wonderful,pd,n/a,pd,"How, William Walsham ",1823-1897,HERONGATE,English ,,,,"Vaughan Williams, Ralph",1872-1958,,,299,
284,H201,NPH374,No weight of gold or silver,Hope,437854,pd,"Dudley-Smith, Timothy ",b. 1929,PASTORALE,"Hartog, Adrian ",1899-1964,,,,,,,233,
285,H269,PH330,"O Jesus, we adore thee",pd,n/a,pd,"Russell, Arthur T. ",1806-1874,MEIRIONYDD,"Lloyd, William ",1786-1852,,,,,,,250,
286,H047,BOW303,O perfect life of love,pd,n/a,pd,"Baker, Henry W. ",1821-1877,SOUTHWELL,"Daman, Psalmes",c. 1540-1591,,,,,,,155,
287,H287,PH355,"O sacred Head, now wounded",pd,n/a,pd,Bernard of Clairvaux,1091-1153,PASSION CHORALE,"Hassler, Hans L. ",1564-1612,"Alexander, James W. ",1804-1859,"Bach, Johann S.  ",1685-1750,,,30,
288,H236,OTRIN192,"Stricken, smitten, and afflicted",pd,n/a,pd,"Kelly, Thomas ",1769-1855,O MEIN JESU,"Geistliche Volkslieder, Paderborn",1850,,,,,,,345,
289,H046,BOW299,There is a green hill far away,pd,n/a,pd,"Alexander, Cecil F. ",1818-1895,HORSLEY,"Horsley, W. ",1774-1858,,,,,,,154,
290,H308,PH381,Man of sorrows! what a name,pd,n/a,pd,"Bliss, Philip P. ",1838-1876,MAN OF SORROWS,"Bliss, Philip P. ",1838-1876,,,,,,,48,
291,H133,N115,There is a Redeemer,Crossroads,11483,Crossroads,"Green, Melody ",b. 1946,THERE IS A REDEEMER,"Green, Melody ",b. 1946,,,,,,,269,
292,H186,NPH227,"Christ, who is in the form of God",Koyzis,n/a,pd,"Koyzis, David T. ",b. 1955,SONG 34,"Gibbons, Orlando",1583-1625,,,,,,,220,
293,H165,N324,We sing the praise of him who died,pd,n/a,pd,"Kelly, Thomas ",1769-1855,BOW BRICKHILL,"Nicholson, Sydney H. ",1875-1947,,,,,,,303,
294,H154,N267,Heaven’s gift,Boice/Jones,n/a,Boice/Jones,"Boice, James Montgomery",1938-2000,SOLA FIDE,"Jones, Paul S.",b. 1969,,,,,,,292,
295,H284,PH350,When I survey the wondrous cross,pd,n/a,pd,"Watts, Isaac ",1674-1748,ROCKINGHAM,"Miller, Edward",1731-1807,,,,,,,28,
296,H054,BOW316,"A shout rings out, a joyful voice",FACR,82089,pd,"Gerdes, Eduard ",1821-1898,DAAR JUICHT EEN TOON,"Malan, H. A. César",1787-1864,Psalter Hymnal,1987,,,,,162,
297,H053,BOW315,"Alleluia, alleluia! Give thanks",IPL,32376,IPL,"Fishel, Donald ",b.1950,ALLELUIA NO. 1 (CHURCH STREET),"Fishel, Donald ",b. 1950,,,"Grotenhuis, Dale  ",b. 1931,,,161,
298,H051,BOW310,"Jesus lives, and so shall I",pd,n/a,pd,"Gellert, Christian F. ",1715-1769,"JESUS, MEINE ZUVERSICHT","Crüger, Johann ",1598-1662,"Lang, J.D.",1826,,,,,159,
299,H202,NPH393,O sons and daughters,pd,n/a,pd,"Tisserand, Jean  ",15th cent.,O FILII ET FILIAE,"Airs sur les hymnes sacrez, odes et noëls, Paris",1623,"Neale, John M. ",1818-1866,,,,,234,
300,H223,NTRIN286,"Rise, O church, and lift your voices",Universal Music,27288,pd,"Hayford, Jack W. ",b. 1934,REGENT SQUARE,"Smart, Henry",1813-1879,,,,,,,335,
301,H293,PH364,The day of resurrection,pd,n/a,pd,St. John of Damascus,8th cent.,LANCASHIRE,"Smart, Henry",1813-1879,"Neale, John M. ",1818-1866,,,,,,
302,H052,BOW313,Thine be the glory,pd,n/a,pd,"Budry, Edmond L. ",1854-1932,MACCABAEUS,"Handel, George F.  ",1685-1759,"Hoyle, Richard B. ",1875-1939,,,,,160,
303,H203,N060,"Sing, choirs of new Jerusalem",pd,n/a,pd,Fulbert of Chartes,c. 960-1028,ST. FULBERT,"Gauntlett, Henry J. ",1805-1876,"Campbell, Robert  ",1814-1868,,,,,263,
304,H055,BOW325,This joyful Eastertide,pd,n/a,FACR,"Woodward, George R. ",1848-1934,VRUECHTEN,"Oudaen, David's Psalmen",1685,,,"Grotenhuis, Dale  ",b. 1931,,,163,
305,H058,BOW328,Hail the day that sees him rise,pd,n/a,pd,"Wesley, Charles ",1707-1788,LLANFAIR,"Williams, Robert ",1781-1821,"Cotteril, Thomas",1779-1823,,,,,166,
306,H291,PH360,Alleluia! Alleluia!,pd,n/a,pd,"Wordsworth, Christopher",1807-1885,EBENEZER,"Williams, Thomas J. ",1869-1944,,,,,,,34,
307,H289,PH357,Christ arose!,pd,n/a,pd,"Lowry, Robert ",1826-1899,CHRIST AROSE,"Lowry, Robert ",1826-1899,,,,,,,32,
308,H290,PH358,"The strife is o'er, the battle done",pd,n/a,pd,Latin,1695,PALESTRINA,"Palestrina, Giovanni da ",c. 1525-1594,"Pott, Francis ",1832-1909,"Monk,  William H.",1823-1889,,,33,
309,H288,PH356,Christ the Lord is risen today,pd,n/a,pd,"Wesley, Charles ",1707-1788,EASTER HYMN,Lyra Davidica,1708,,,"Arnold, John ",1749-1798,,,31,
310,H292,PH361,Praise the Saviour now and ever,pd,n/a,pd,"Fortunatus, Venantius H. C. ",c. 530-609,"UPP, MIN TUNGA",Swedish Koralbok,1697,"Nelson, Augustus ",1863-1949,,,,,35,
311,H081,BOW413,"Approach, my soul, the mercy seat",pd,n/a,pd,"Newton, John",1725-1807,SPOHR,"Spohr, Ludwig ",1784-1859,,,,,,,188,
312,H171,N383,Done is the work that saves,pd,n/a,pd,"Bonar, Horatius ",1808-1889,DARWALL'S 148th,"Darwall, John ",1731-1789,,,,,,,309,
313,H123,N037,Before the throne of God above,pd,n/a,Crossroads,"Bancroft, Charitie L. ",1841-1923,BEFORE THE THRONE,"Cook, Vikki ",1997,,,,,,,259,
314,H162,N314,"Lord Jesus, think on me",pd,n/a,pd,Synesius of Cyrene,c. 375,ST. PAUL,"Stainer, John",1840-1901,"Chatfield,  Allen W.",1808-1896,,,,,301,
315,H187,NPH230,Since our great High Priest,Hope,965065,pd,"Idle, Christopher ",b. 1938,WEISSE FLAGGEN,"Tochter Sion, Köln, Germany",1741,,,,,,,221,
316,H080,BOW410,With joy we meditate the grace,pd,n/a,pd,"Watts, Isaac",1674-1748,DUNFERMLINE,Scottish Psalter,1615,,,,,,,,
317,H056,BOW326,Crown him with many crowns,Hope,1037985chang'd,pd,"Thring, Godfrey ",1823-1903,DIADEMATA,"Elvey, George J. ",1816-1893,,,,,"Hopson, Hal ",b. 1933,164,
317,H056,BOW326,Crown him with many crowns,"Hope, rev.",1037985chang'd,pd,"Bridges, Matthew ",1800-1894,DIADEMATA,"Elvey, George J. ",1816-1893,,,,,,,164,
318,H057,BOW327,The head that once was crowned,pd,n/a,pd,"Kelly, Thomas ",1769-1855,ST. MAGNUS,"Clarke, Jeremiah  ",c. 1670-1707,,,,,,,165,
319,H059,BOW330,Jesus is Lord!,Crossroads,39829,Crossroads,"Mansell, David J. ",b. 1936,JESUS IS LORD,"Mansell, David J. ",b. 1936,,,,,,,167,
320,H295,PH366,Alleluia! sing to Jesus!,pd,n/a,pd,"Dix, William C. ",1837-1898,LOWELL,"Nichol, H. Ernest ",1862-1926,,,,,,,37,
321,H294,PH365,"See, the Conqueror mounts in triumph",pd,n/a,pd,"Wordsworth, Christopher",1807-1885,REX GLORIAE,"Smart, Henry",1813-1879,,,,,,,36,
322,H297,PH369,"Hail, thou once despised Jesus!",pd,n/a,desc. Hope; tune pd,"Bakewell, John ",1721-1819,LUX EOI,"Sullivan, Arthur S.",1842-1900,,,,,"Barnard, John ",b. 1948,39,
323,H140,N141,Christ is risen and exalted,STTL,n/a,pd,"Kavanagh, Chris J.",b. 1950,LUX EOI,"Sullivan, Arthur S.",1842-1900,,,,,,,276,
324,H197,NPH333,"Rejoice, rejoice, believers",pd,n/a,pd,"Laurenti, Laurentius",1660-1722,GREENLAND,"Haydn, J. Michael ",1737-1806,"Findlater, Sarah B.  ",1823-1907,"Jacob, National Psalmody",1819,,,229,
325,H300,PH372,At the name of Jesus,pd,n/a,Weinberger,"Noel, Caroline M. ",1817-1877,CAMBERWELL,"Brierly, Michael ",b. 1932,,,,,,,41,
325,H300,PH372,At the name of Jesus,pd,n/a,pd,"Noel, Caroline M. ",1817-1877,KING OF GLORY,"Piersma, Albert ",1893-1975,,,,,,,41,
326,H061,BOW337,At your feet we fall,Crossroads,38961,Crossroads,"Fellingham, David",b.1947,AT YOUR FEET,"Fellingham, David",b. 1947,,,,,,,169,
327,H250,PH135,Christ shall have dominion,1957,n/a,pd,Psalter Hymnal,1957,ST. GERTRUDE,"Sullivan, Arthur S.",1842-1900,,,,,,,,
328,H391,STTL154,Hail to the Lord’s Anointed!,FACR,3328499,pd,"Montgomery, James ",1771-1854,CRÜGER,"Crüger, Johann ",1598-1662,"Polman, Bert ",b. 1945,"Monk, William H. ",1823-1889,,,4,
329,H131,N103,Behold! the mountain of the Lord,pd,n/a,pd,Scottish Paraphrases,1781,GLASGOW,"Moore, Psalm-Singer's Pocket Companion",1756,,,,,,,268,
330,H320,PH399,Jesus shall reign where'er the sun,pd,n/a,H.W. Gray,"Watts, Isaac ",1674-1748,DUKE STREET,"Hatton, John",1710-1793,,,,,"Williams, David McKinley",1887-1978,60,
331,H296,PH368,"Rejoice, the Lord is King!",pd,n/a,pd,"Wesley, Charles ",1707-1788,DARWALL'S 148th,"Darwall, John ",1731-1789,,,,,"Nicholson, Sydney H. ",1875-1947,38,
332,H321,PH400,"Shout, for the blessed Jesus reigns",pd,n/a,desc OUP; tune pd,"Beddome, Benjamin ",1717-1795,TRURO,"Williams,  Psalmody Evangelica",1789,,,,,"Wilson, John ",1905-1992,61,
333,H060,BOW333,The Lord is King!,pd,n/a,pd,"Conder, Josiah",1789-1855,CHURCH TRIUMPHANT,"Elliot, James William ",1833-1915,,,,,,,168,
334,H217,NPH615,The King shall come,pd,n/a,pd,Greek,,ST. STEPHEN,"Jones, William ",1726-1800,"Brownlie, John  ",1857-1925,,,,,330,
335,H114,BOW520,Christ is coming!,pd,n/a,desc JDBower Wills Trust; tune pd,"Macduff, John R. ",1818-1895,NEANDER (UNSER HERRSCHER),"Neander, Joachim ",1650-1680,,,,,"Bower, Sir John Dykes",1905-1981,243,
336,H149,N192,"O shrink, my soul",STTL,n/a,pd,"Goris, John ",b. 1937,UFFINGHAM,"Clarke , Jeremiah ",c. 1670-1707,,,,,,,287,
337,H156,N273,Keep watching and be ready,Boice/Jones,n/a,Boice/Jones,"Boice, James Montgomery",1938-2000,IMMINENT,"Jones, Paul S.",b. 1969,,,,,,,294,
338,H298,PH370,Day of judgment! Day of wonders!,pd,n/a,pd,"Newton, John",1725-1807,CORONAE,"Monk, William H. ",1823-1889,,,,,,,40,
339,H299,PH371,"“Wake, awake, for night is flying”",Lutheran BOW - rev.,n/a,pd,"Nicolai, Philipp ",1556-1608,WACHET AUF,"Sachs, Hans",c. 1513,"Winkworth, Catherine ",1827-1878,"Bach, Johann S.",1685-1750,,,,
340,H112,BOW513,Lo! he comes with clouds descending,pd,n/a,pd,"Wesley, Charles ",1707-1788,HELMSLEY,English,18th cent. ,,,,,,,240,
341,H224,N059,The Lord will come,pd,n/a,pd,"Milton, John ",1608-1674,EAGLEY,"Walch, James ",1837-1901,,,,,,,262,
342,H108,BOW501,"Your kingdom come, O God",pd,n/a,pd,"Hensley, Lewis",1824-1905,ST. CECILIA,"Hayne, Leighton G. ",1836-1883,,,,,,,238,
343,H317,PH393,"Creator Spirit, by whose aid",pd,n/a,pd,Latin ,9th cent.,MELITA,"Dykes, John B. ",1823-1876,"Dryden, John ",1631-1700,,,,,57,
344,H238,OTRIN247,"Come, O come, life-giving Spirit",pd,n/a,pd,"Held, Heinrich ",c. 1664,LUX PRIMA,"Gounod, Charles F.",1818-1893,"Schaeffer, Charles W.",1813-1896,,,,,346,
345,H065,BOW351,For your gift of God the Spirit,Hope,233924,pd,"Clarkson, Margaret",1915-2008,BLAENWERN,"Rowlands, William P. ",1860-1937,,,,,,,172,
346,H064,BOW342,"Our great Redeemer, as he breathed",Hope,1045984,pd,"Auber, Harriet ",1773-1862,ST. CUTHBERT,"Dykes, John B. ",1823-1876,,,,,,,171,
347,H063,BOW340,Born by the Holy Spirit’s breath,Hope,4497075,pd,"Dudley-Smith, Timothy ",b. 1927,GERMANY (FULDA),"Gardiner, Sacred Melodies",1815,,,,,,,357,
348,H062,BOW339,"The Spirit came, as promised",Hope,2747442,pd,"Seddon, James E. ",1915-1983,BEFIEHL DU DEINE WEGE,"Bastiaans, Johannes G. ",1812-1875,,,,,,,170,
349,H316,PH391,"Breathe on me, Breath of God",pd,n/a,pd,"Hatch, Edwin ",1835-1889,TRENTHAM,"Jackson, Robert ",1842-1914,,,,,,,56,
350,H122,N034,"Come down, O Love divine",pd,n/a,pd,"Siena, Bianco da",c. 15th cent.,DOWN AMPNEY,"Vaughan Williams, Ralph ",1872-1958,"Littledale, Richard F. ",1833-1890,,,,,258,
351,H318,PH394,"Spirit of God, who dwells within",pd,n/a,pd,"Croly, George ",1780-1860,MORECAMBE,"Atkinson, Frederick C. ",1841-1896,,,,,,,58,
352,H263,PH324,God himself is with us,pd,n/a,pd,"Tersteegen, Gerhardt ",1697-1769,ARNSBERG,"Neander, Bundes-Leider",1680,"Foster, Frederick ",1760-1835,,,,,251,
352,H263,PH324,God himself is with us,pd,n/a,pd,"Tersteegen, Gerhardt ",1697-1769,ARNSBERG,"Neander, Bundes-Leider",1680,"Millar, John  ",1756-1790,,,,,251,
353,H266,PH327,"Praise to the Lord, the Almighty",pd,n/a,tune pd; desc. G Schirmer,"Neander, Joachim ",1650-1680,LOBE DEN HERREN,"Ernewerten Gezangbuch, Stralsund",1665,"Winkworth, Catherine ",1827-1878,,,"Lang, Craig S.",1891-1971,253,
354,H251,PH282,"Exalt the LORD, his praise proclaim",1957,n/a,pd,Psalter Hymnal,1957,CREATION,"Haydn, Franz Joseph ",1732-1809,,,,,,,,
355,H379,PH483,"Come, ye that fear Jehovah",1957,n/a,pd,Psalter Hymnal,1957,TOURS,"Tours, Berthold",1838-1897,,,,,,,,
356,H229,NTRIN469,How sweet and awesome is the place,pd,n/a,pd,"Watts, Isaac ",1674-1748,ST. COLUMBA,Irish ,,,,,,,,340,
357,H239,OTRIN324,This day at thy creating word,pd,n/a,tune pd; desc. GIA,"How, William Walsham ",1823-1897,WINCHESTER NEW,"Musikalisches Handbuch, Hamburg",1690,,,,,"Hopson, Hal ",b. 1933,347,
358,H121,N018,"We, the Lord’s people","Bowers, John E.",n/a,pd,"Bowers, John E.",b. 1923,CHRISTE SANCTORUM,Paris Antiphoner,1681,,,,,,,257,
359,H009,BOW178,Worship the Lord in the beauty of holiness,pd,n/a,pd,"Monsell, John S. B. ",1811-1875,WAS LEBET,"Choral-buch vor Johann Heinrich Reinhardt, Üttingen",1754,,,"English Hymnal, The",1906,,,124,
360,H260,PH320,Safely through another week,pd,n/a,pd,"Newton, John",1725-1807,DIX,"Kocher, Conrad ",1786-1872,,,"Monk, William H. ",1823-1889,,,14,
361,H262,PH323,"Father, again in Jesus' name we meet",pd,n/a,pd,"Whitmore, Lucy E.G. ",1792-1840,PENITENTIA,"Dearle, Edward ",1806-1891,,,,,,,15,
362,H003,BOW153,"Blessed Jesus, at your word",pd,n/a,pd,"Clausnitzer, Tobias ",1619-1684,LIEBSTER JESU,"Ahle, Johann R.",1625-1673,"Winkworth, Catherine ",1827-1878,,,,,119,
363,H024,BOW249,"Lift up your heads, ye mighty gates!",pd,n/a,pd,"Weissel, Georg ",1590-1635,MACHT HOCH DIE TÜR,"Freylinghausen, J.",1704,"Winkworth, Catherine ",1827-1878,"Mens, Leonard J.",1879-1960,,,137,
364,H138,N138,Bless and keep your people,STTL,n/a,pd,"Goris, John",b. 1937,SEGNE UND BEHÜTE,"Gregor, Christian ",1723 - 1801,,,,,,,274,
364,H138,N138,Bless and keep your people,STTL,n/a,pd,"Gossner, Segne uns behüte",1773-1858,SEGNE UND BEHÜTE,"Gregor, Christian ",1723 - 1801,,,,,,,274,
365,H256,PH316,Now thank we all our God,pd,n/a,pd,"Rinkart, Martin ",1585-1649,NUN DANKET,"Crüger, Johann ",1598-1662,"Winkworth, Catherine ",1827-1878,,,,,10,
366,H195,NPH325,Go forth for God,Hope,5893898,pd,"Peacey, John R. ",1896-1971,TOULON,Genevan Psalter,1551,English Praise,1975,,,,,228,
367,H264,PH325,"Lord, dismiss us with thy blessing",pd,n/a,pd,"Fawcett, John",1740-1817,SICILIAN MARINERS,Sicilian,18th cent.,"Kelly, Thomas",1769-1855,,,,,,
368,H381,PH487,"God, the Father of your people",FACR,n/a,pd,"Mulder, Alfred E.",b. 1936,BLAENWERN,"Rowlands, William P. ",1860-1937,,,,,,,113,
368,H381,PH487,May the grace of Christ our Saviour,FACR,n/a St. 1 is © ,pd,"Newton, John ",1725-1807,BLAENWERN,"Rowlands, William P. ",1860-1937,,,,,,,113,
369,H021,OTRIN338,"The day thou gavest, Lord",pd,n/a,tune pd; desc. K Hull,"Ellerton, John ",1826-1893,ST. CLEMENT,"Scholefield, Clement C. ",1839-1904,,,,,"Hull, Kenneth ",b. 1952,348,
370,H265,PH326,"Saviour, again to thy dear name we raise",pd,n/a,pd,"Ellerton, John ",1826-1893,ELLERS,"Hopkins, Edward J. ",1818-1901,,,,,,,252,
371,H150,N236,"Speak, O Lord",Crossroads,4615235,Crossroads,"Getty, Keith  ",b. 1974,"SPEAK, O LORD","Getty, Keith  ",b. 1974,,,,,,,288,
371,H150,N236,"Speak, O Lord",Crossroads,4615235,Crossroads,"Townend, Stuart ",b. 1963,"SPEAK, O LORD","Townend, Stuart ",b. 1963,,,,,,,288,
372,H014,BOW203,"Lord, your word shall guide us",Hope,1039172,pd,"Baker, Henry W. ",1821-1877,RAVENSHAW,"Ave Hierarchia, Weisse",1531,,,"Monk,  William H.",1823-1889,,,129,
373,H192,NPH282,Break thou the bread of life,pd,n/a,pd,"Groves,  Alexander ",1842-1909,BREAD OF LIFE,"Sherwin, William F. ",1826-1888,,,,,,,225,
373,H192,NPH282,Break thou the bread of life,pd,n/a,pd,"Lathbury, Mary A.  ",1841-1913,BREAD OF LIFE,"Sherwin, William F. ",1826-1888,,,,,,,225,
374,H337,PH424,Just as I am,pd,n/a,pd,"Elliot, Charlotte ",1789-1871,WOODWORTH,"Bradbury, William B. ",1816-1868,,,,,,,73,
374,H337,PH424,Just as I am,pd,n/a,pd,"Elliot, Charlotte ",1789-1871,MAUNDER,"Maunder, John H.  ",1858-1920,,,,,,,73,
375,H194,NPH309,Lift up your hearts,Linda Stassen,26272,Linda Stassen,"Stassen, Linda ",b. 1951,SING ALLELUIA,Stassen. Linda,b. 1951,,,"Grotenhuis, Dale  ",b. 1931,,,227,
376,H159,N297,For the bread which you have broken,pd,n/a,pd,"Benson, Louis Fitzgerald ",1855 - 1930,OMNI DIE ,Gross Catholisch Gesangbuch,1631,,,"Rockstro, William Smith ",1823-1895,,,297,
377,H193,NPH301,Taste and see,"Petter, Carol",n/a,FACR,"Petter, Carol Vriend ",b. 1954,ANTHEA,"Mennes, Wim ",b. 1917,,,,,,,226,
378,H147,N188,O let us keep the feast,STTL,n/a,pd,"Goris, John ",b. 1937,GORTON,"Beethoven, Ludwig van ",1770-1827,,,,,,,285,
379,H336,PH423,"Soul, adorn yourself with gladness",Lutheran BOW alt.,n/a,pd,"Franck, Johann ",1618-1677,SCHMÜCKE DICH,"Crüger, Johann ",1598-1662,"Winkworth, Catherine ",1827-1878,,,,,72,
380,H333,PH421,According to thy gracious word,pd,n/a,pd,"Montgomery, James ",1771-1854,HARVEY'S CHANT,"Bradbury, William B. ",1816-1868,,,,,,,70,
381,H019,BOW232,He gave his life in selfless love,Hope,873425,Andrew Maries,"Porteous, Christopher",b. 1935,SELFLESS LOVE,"Maries, Andrew ",b. 1949,,,,,,,134,
382,H018,BOW228,"Here, O my Lord, I see thee face to face",pd,n/a,pd,"Bonar, Horatius ",1808-1889,MORECAMBE,"Atkinson, Frederick C. ",1841-1896,,,,,,,133,
383,H335,PH422,"O Jesus, joy of loving hearts",pd,n/a,pd,Latin ,11th cent.,BACCA,"Bradbury, William B. ",1816-1868,"Palmer, Ray ",1808-1887,,,,,71,
384,H330,PH415,"O God, great Father",pd,n/a,pd,"Hoss, E. Embree ",1849-1919,MELCOMBE,"Webbe, Samuel ",1740-1816,,,,,,,69,
385,H331,PH416,"Our children, Lord, in faith and prayer",pd,n/a,pd,"Haweis, Thomas",1732-1820,NAOMI,"Mason, Lowell ",1792-1872,,,,,,,,
386,H332,PH417,"Saviour, like a shepherd lead us",pd,n/a,pd,"Thrupp, Hymns for the Young",1836,BRADBURY,"Bradbury, William B. ",1816-1868,,,,,,,,
387,H343,PH435,"Humble praises, holy Jesus",FACR,82175,pd,Anonymous,,VESPER HYMN,"Stevenson, John A.",1761-1833,"Brink, Emily R.",b. 1940,,,,,,
388,H106,BOW496,There’s a friend for little children,pd,n/a,pd,"Midlane, Albert",1825-1909,IN MEMORIAM (STAINER),"Stainer, John",1840-1901,,,,€€,,,213,
389,H324,PH404,"Lord, speak to me, that I may speak",pd,n/a,pd,"Havergal, Frances R. ",1836-1879,CANONBURY,"Schumann,  Nachtstücke, Op 23, No. 4",1839,,,,,,,63,
390,H351,PH447,Blest be the tie that binds,pd,n/a,pd,"Fawcett, John",1740-1817,DENNIS,"Nägeli, Hans G.",1773-1835,,,"Mason, Lowell ",1792-1872,,,,
391,H319,PH398,The church's one foundation,pd,n/a,pd,"Stone, Samuel J. ",1839-1900,AURELIA,"Wesley, Samuel S.  ",1810-1876,,,,,,,59,
392,H102,BOW480,Christ is made the sure foundation,Hope,2702353 chang'd,tune pd; desc Church Society,Latin ,7th cent.,WESTMINSTER ABBEY,"Purcell, Henry",1659-1695,"Neale, John M. ",1818-1866,,,"Nixon, Darryl",b. 1952,210,
393,H375,PH479,"I love thy kingdom, Lord",pd,n/a,pd,"Dwight, Timothy ",1752-1817,ST. THOMAS,"Williams, Aaron ",1731-1776,,,,,,,108,
394,H323,PH402,Glorious things of thee are spoken,1957,n/a,pd,"Newton, John",1725-1807,AUSTRIA,"Haydn, Franz Joseph ",1732-1809,Psalter Hymnal,1957,,,,,62,
394,H323,PH402,Glorious things of thee are spoken,1957,n/a,OUP,"Newton, John",1725-1807,ABBOT'S LEIGH,"Taylor, Cyril V. ",1907-1991,Psalter Hymnal,1957,,,,,62,
395,H104,BOW487,"Church of God, elect and glorious",Hope,2627311,pd,"Seddon, James E. ",1915-1983,LUX EOI,"Sullivan, Arthur S.",1842-1900,,,,,,,211,
396,H127,N063,Hallelujah!,Boice/Jones,n/a,Boice/Jones,"Boice, James Montgomery",1938-2000,PERSEVERANCE,"Jones, Paul S.",b. 1969,,,,,,,266,
397,H142,N143,Church of Christ Jesus,STTL,n/a,pd,"Goris, John ",b. 1937,MERCK TOCH,"Valerius, Nederlandtsch Gedenckclanck",1622,,,,,,,279,
398,H084,BOW425,Who is on the Lord's side?,pd,n/a,pd,"Havergal, Frances R. ",1836-1879,ARMAGEDDON,German ,,,,"Goss, John ",1800-1880,,,193,
399,H348,PH444,A mighty fortress is our God,pd,n/a,pd,"Luther, Martin ",1483-1546,EIN' FESTE BURG,"Luther, Martin ",1483-1546,"Hedge, Frederick H. ",1805-1890,"Bach, Johann S. ",1685-1750,,,82,
400,H367,PH468,God of the prophets,pd,n/a,pd,"Wortman, Denis",1835-1922,TOULON,Genevan Psalter,1551,,,,,,,101,
401,H241,OTRIN377,“For my sake and the gospel’s”,pd,n/a,pd,"Bickersteth, Edward H.",1825-1906,BISHOPGARTH,"Sullivan, Arthur S.",1842-1900,,,,,,,,
402,H225,NTRIN443,Hark! the voice of Jesus calling,pd,n/a,pd,"March, Daniel ",1816-1909,CLEMM,"Clemm, James B. O.",1855-1927,,,,,,,336,
403,H209,NPH524,Hope of the world,Hope,6293136,pd,"Harkness, Georgia E.",1891-1974,O PERFECT LOVE,"Barnby, Joseph ",1838-1896,,,,,,,322,
404,H211,NPH531,How shall they hear the word of God,Hope,4957876chang'd,pd,"Perry, Michael A. ",1942-1996,O JESU,"Evangelisches Gesangbuch, Hirschberg",1741,,,,,,,323,
405,H161,N312,"Lord, her watch your church is keeping",pd,n/a,pd,"Downton, Henry ",1818-1885,EVERTON,"Smart, Henry",1813-1879,,,,,,,300,
